Epoch,Training Loss,Validation Loss,Accuracy,F1,Precision,Recall
1,1.590100,1.584523,0.351000,0.142345,0.127773,0.195625
2,1.400700,1.334468,0.515000,0.235244,0.407708,0.273534
3,1.120400,0.988631,0.630500,0.403369,0.386779,0.443624
4,0.844700,0.649949,0.770500,0.621166,0.786593,0.624475
5,0.534900,0.461457,0.835500,0.805436,0.814465,0.809944
6,0.381400,0.410981,0.857000,0.818026,0.861021,0.790838
7,0.301100,0.337249,0.878500,0.851343,0.847892,0.858097
8,0.243700,0.328435,0.880500,0.859647,0.843881,0.879545
9,0.205400,0.302027,0.892000,0.871852,0.874090,0.871132
10,0.182400,0.298668,0.890500,0.869012,0.867695,0.871202
