Epoch,Training Loss,Validation Loss,Accuracy,F1,Precision,Recall
1,1.584800,1.431898,0.466500,0.185925,0.170530,0.237718
2,1.143400,0.718488,0.717000,0.561292,0.650898,0.566157
3,0.520800,0.407580,0.867000,0.840570,0.833100,0.858399
4,0.293800,0.349081,0.868000,0.843999,0.829272,0.864527
5,0.219900,0.274911,0.896000,0.869929,0.866144,0.878012
6,0.179300,0.314441,0.896500,0.864384,0.903437,0.834982
7,0.146600,0.284829,0.906000,0.881248,0.882915,0.882238
8,0.118500,0.302430,0.910500,0.887799,0.881165,0.895388
9,0.097500,0.300679,0.912000,0.890593,0.886233,0.897156
10,0.081900,0.303513,0.913500,0.894734,0.893831,0.895988
